Mean_Intensity,Std_Intensity,Entropy
0.45785102,0.37380376,771.65906
0.46021053,0.3723161,775.9718
0.4629183,0.37344366,779.88477
0.48443058,0.36632055,816.23926
0.4791331,0.36677802,807.69794
0.47468042,0.3692711,799.83997
0.46135074,0.37295747,777.6073
0.4661244,0.3697788,786.4298
0.46155247,0.37151012,778.4967
0.46621132,0.3707256,786.112
0.21723227,0.102201685,428.76373
0.21527468,0.10110978,425.5121
0.21672514,0.102244414,427.9125
0.21841258,0.10317211,430.7568
0.21596296,0.10169995,426.64948
0.2199971,0.10357443,433.49374
0.21733715,0.099527806,429.30127
0.21419671,0.09837159,423.92587
0.21322703,0.098650396,422.17776
0.21473585,0.10025238,424.6229
0.27434906,0.1359174,521.5368
0.2755529,0.14014058,522.9386
0.2723658,0.14230415,517.21686
0.2966236,0.15383548,556.098
0.27440122,0.1411842,520.79254
0.29556823,0.15312462,554.5239
0.2950579,0.15268457,553.7339
0.29303765,0.15206401,550.49115
0.2975427,0.15399486,557.6178
0.29745102,0.15168373,557.8958
0.3768248,0.22629158,678.5286
0.4680257,0.25427017,817.34546
0.4603443,0.2573214,804.4297
0.39900297,0.21687648,714.7701
0.47719407,0.27047727,828.4501
0.50943273,0.27417913,876.95184
0.40155154,0.21809082,718.6417
0.39354396,0.20881078,707.3
0.4106766,0.22744285,731.6539
0.38000298,0.22224636,683.8731
0.42787182,0.18266742,763.9128
0.4324151,0.18362097,770.8271
0.4425079,0.18577363,786.23016
0.42871946,0.18059336,765.4229
0.42858043,0.18641518,764.3696
0.42733115,0.1781435,763.5936
0.43234354,0.17839438,771.11066
0.4250331,0.17871268,759.9227
0.42546946,0.1791654,760.47235
0.42537868,0.18086644,760.2167
0.39565682,0.17458029,713.53107
0.33461177,0.21160524,606.13806
0.31998295,0.20686205,582.5667
0.32923633,0.21626717,596.5587
0.32338196,0.20482564,588.81396
0.39666465,0.18109684,714.05383
0.40117776,0.1793351,721.4357
0.40378404,0.18370141,725.0513
0.3914764,0.17793995,706.3013
0.3827107,0.18022625,692.0872
0.37667394,0.19947833,680.95856
0.39304718,0.20409355,706.1471
0.41932732,0.21215098,745.8247
0.37535894,0.19121997,679.6444
0.40018803,0.18979967,718.8409
0.38065353,0.20380773,686.73505
0.3687801,0.19974905,668.154
0.3808685,0.20978114,685.2094
0.3720014,0.19611037,673.379
0.3798779,0.19744219,685.6391
0.43230692,0.154864,774.609
0.4327526,0.1564053,775.2056
0.4396029,0.15749176,785.7219
0.41768965,0.15711494,751.50336
0.44984788,0.15897107,801.3734
0.4670395,0.15886395,827.60394
0.44128633,0.15521541,788.62305
0.43249783,0.15483682,774.9129
0.43833965,0.15405418,784.20825
0.43375853,0.15405472,777.04584
0.5241885,0.25778982,900.6498
0.5163802,0.23395234,892.32184
0.521008,0.23493135,899.0543
0.5800544,0.23285897,986.4207
0.527952,0.24109338,908.5192
0.55656964,0.2389612,951.0985
0.5436629,0.24040215,931.9365
0.5384358,0.24031222,924.2199
0.5397942,0.258079,923.706
0.5579955,0.25229964,951.46606
0.46774864,0.23968293,817.5585
0.46356338,0.23966736,811.0824
